LRLRRLRLRRRLRRRLRRLRLLRLRLRRRLRLRRLLRRLLRRRLLRRRLRRRLRRLLRLRRRLRRLRLRLLRRLLRRRLLRLRRRLRRRLLRLRRRLLRLLRRLRLRRRLLRLRLLRRRLLRLRRRLLLRRRLLLRRLLLRRRLLRLRLRLRRLLRRRLRRLRRRLRRLRRRLRLRRLRLRRRLRLRRRLRRLRRRLRLLLRLRRRLRLLRLRRLRRRLRRLRLRLRLRRLRRLLRLLLRLRLRRRLRRRLLRLLRLRRLRRRLRRLRRRLRLRRRR

JKT = (KFV, CFQ)
QDK = (QQC, SSH)
JFS = (QHH, DVN)
FXR = (QHH, DVN)
TGN = (PJD, BPS)
FFB = (DMM, GKG)
DBK = (CJQ, GDN)
RQK = (CXV, FHP)
QTK = (PSM, RPR)
JFX = (THF, JVF)
HCA = (LJP, GVX)
VVN = (CQM, JDK)
CSH = (MBT, RHJ)
HGC = (HXD, SGT)
HNH = (MBB, FGH)
QXJ = (NTG, HGC)
PQH = (GBB, NKL)
SVB = (KJQ, SQH)
PPS = (BVL, KNN)
MVD = (FSK, LSJ)
CGG = (HTQ, CLV)
KSH = (SMV, SMV)
GNF = (VTC, PVX)
QXV = (DCD, BKM)
SPG = (NGG, MFT)
XGR = (XTC, BLC)
DPZ = (LVQ, VPC)
JQN = (NKS, GDV)
QQT = (NGP, CVV)
TQF = (KXN, MKK)
NHX = (FSK, LSJ)
XLT = (GDK, LDD)
KXC = (HJC, VMN)
SVD = (TBB, RVJ)
DXV = (DSK, XGP)
TDD = (BJD, SFH)
LMV = (PSM, RPR)
BBT = (LGT, LGT)
XLP = (FLX, RDG)
DDF = (HQK, CFM)
FSM = (BXJ, LXL)
KHH = (SVL, RSF)
SHR = (JDN, JDN)
GLV = (MDV, LDN)
MFB = (BSD, PGS)
HGD = (TTP, SVH)
KDJ = (NRV, FDM)
DNN = (TXF, GLL)
MFL = (XTM, GDD)
VRB = (JPD, DPH)
DLQ = (TNG, VBN)
PPK = (BPK, LML)
TPV = (HBB, HLJ)
GMV = (QVH, KLC)
VBB = (VNX, VNX)
VVH = (QQJ, HBN)
KTT = (BKS, XNH)
JQH = (QRT, LGC)
GNX = (QLJ, DSH)
DTS = (FBF, BRJ)
FTN = (DDC, NKN)
JRH = (XCC, CSP)
FFC = (NMG, XPD)
HLK = (PRR, TRL)
KRT = (LXC, NRM)
JLT = (XNQ, BHL)
HDJ = (KFN, CSH)
DCN = (LQX, QXJ)
MKK = (VVG, XCL)
FXL = (SPG, XPN)
TXF = (NSP, SSD)
JKN = (FFB, KGQ)
BJD = (GLV, XKH)
XGL = (GPR, JKN)
BJM = (DGP, BPN)
JCB = (DPH, JPD)
MLS = (DPF, XRH)
JCX = (DXV, NXR)
QLJ = (BVJ, BJM)
LJD = (CRR, QCX)
LCS = (JVK, GMN)
HLD = (XGL, LLR)
DSN = (GRN, GRN)
JLV = (HLN, CBB)
PMT = (DSN, QJV)
HVF = (QTK, LMV)
MNV = (KRD, BMC)
LNS = (SLK, KTF)
KKD = (JTD, JVS)
QXG = (DTS, DXQ)
QVH = (KGC, BNK)
PLJ = (TSK, ZZZ)
MRN = (HNF, DKC)
JMM = (JDX, GVG)
MHK = (CBB, HLN)
THF = (LMT, DGC)
TKH = (MFB, PTB)
FCH = (BFM, MLF)
HSF = (PHT, DSP)
MNT = (DFS, KHH)
GNR = (BKR, TGN)
MNM = (FTC, FTN)
BGB = (SXX, QJK)
NGG = (KJT, LSH)
HBN = (QDK, KJH)
TVX = (PMH, LGM)
GDV = (XNJ, BDQ)
TJJ = (FHP, CXV)
QCK = (JXV, NMT)
XTK = (PKR, RRD)
HHQ = (DBK, SRB)
CPG = (CQR, RCF)
XNJ = (LTK, KLL)
LMQ = (JDX, GVG)
DPR = (BQR, QFG)
GXC = (BRR, CXG)
CQR = (KNX, CSL)
GJV = (MNM, HHJ)
HTS = (KXN, MKK)
RSF = (SSG, NNG)
HCH = (HVM, KKP)
RCL = (SQQ, VBL)
NGL = (QCT, VTS)
MCT = (GBN, DCF)
QFS = (VKL, XGR)
BNP = (CQM, JDK)
BPN = (JGR, BGB)
BRG = (JCT, CDD)
PHN = (GNR, GPS)
XBX = (TVX, FMG)
PJS = (XCQ, PPS)
SNF = (NTC, MNV)
CLV = (TCP, XBR)
CVJ = (RSK, SXV)
NRC = (VRB, JCB)
BFM = (PLL, LMX)
GKG = (MVD, NHX)
JPF = (FDM, NRV)
GTB = (DFJ, GXS)
DMT = (BKQ, GGM)
DPH = (BCG, GFJ)
MVB = (DRT, RPS)
HTQ = (TCP, XBR)
MJF = (XTK, GCB)
GRG = (NLM, NBM)
VKL = (BLC, XTC)
NCV = (LXC, NRM)
KTF = (KBV, BXX)
KRD = (FSM, VNV)
DBJ = (NQK, VSB)
XCC = (NRR, XDK)
XRK = (QHQ, GPB)
PVR = (GDG, VVH)
BSD = (GRG, VSS)
PTP = (CDF, KCR)
FDM = (VVM, MRD)
BFB = (RQJ, CSG)
PVX = (HXM, DKN)
PHG = (DQJ, QVP)
GMN = (XPJ, NRC)
QPR = (JKT, QBG)
CQX = (GJC, TCN)
VTS = (HBS, LKG)
BRT = (XSJ, BRG)
LKG = (SSP, HPN)
KVS = (BVN, TRS)
NBK = (FXV, PPG)
XGV = (XVP, LSF)
SKP = (JHM, SKV)
MPV = (VSJ, RGT)
PNR = (XGL, LLR)
BDQ = (KLL, LTK)
JFK = (BBT, TVP)
PCC = (HQB, HSD)
TNL = (CMD, GTB)
JMD = (QPR, LNL)
FMV = (SCQ, QFS)
LMX = (PCS, QSM)
DXC = (BJS, HHQ)
PXR = (QJG, RQD)
FVV = (GVB, RKD)
TSK = (QXT, CDL)
QLD = (TPX, HGR)
VPB = (JDV, BGF)
GDN = (BFV, XDS)
MLZ = (CLV, HTQ)
XNM = (BCV, PNK)
GXT = (CVM, HDJ)
DPF = (XSG, RBT)
DQQ = (GPC, KPF)
BBC = (XCQ, XCQ)
NXG = (NGP, CVV)
RDG = (NKT, XLT)
HHJ = (FTN, FTC)
FTC = (DDC, NKN)
RCK = (LBN, QCK)
MGQ = (VMB, VPB)
LGC = (BTX, KFQ)
VHQ = (DMX, LJD)
JKB = (XTK, GCB)
DCR = (PVR, MGL)
MRF = (CXG, BRR)
XRL = (BPR, SHS)
LBN = (JXV, NMT)
MVV = (DQJ, QVP)
HPH = (DHQ, DJS)
FSP = (KXM, CPG)
GPB = (KDJ, JPF)
VGV = (KTT, FXD)
MCN = (KLC, QVH)
BNJ = (HMV, CVT)
PKG = (RQK, TJJ)
CCR = (PRR, TRL)
NCQ = (TCJ, XLP)
CHG = (PHN, XCG)
HLJ = (CCR, HLK)
VSJ = (LNS, LKP)
SQS = (DCN, BDX)
KFN = (MBT, RHJ)
LGT = (JJQ, JJQ)
MJM = (RDK, MTZ)
LXL = (DJG, JRH)
TMP = (PNX, PCB)
KVD = (LBN, QCK)
RQJ = (TPG, QTP)
XTM = (RPK, FBB)
LNG = (HPH, CMQ)
PKP = (NQK, VSB)
KGN = (LMM, TNL)
QBG = (CFQ, KFV)
NPX = (FBC, KDG)
LXC = (GKS, GNX)
LDD = (JKB, MJF)
QCT = (HBS, LKG)
KQN = (CVR, PQH)
JVJ = (MPG, XCX)
PLN = (PXP, DQQ)
QNG = (LML, BPK)
JGR = (QJK, SXX)
HBX = (TNL, LMM)
JJQ = (TSK, TSK)
XJT = (SMV, MJM)
BQX = (DSN, DSN)
RVJ = (KXQ, QBJ)
PHT = (XXV, DHN)
BFJ = (PVR, MGL)
BHP = (SQH, KJQ)
TJM = (TXM, HFK)
NMT = (HLD, PNR)
DHQ = (PCC, RDN)
PGS = (GRG, VSS)
DSP = (XXV, DHN)
MRD = (VXB, KQD)
LKP = (KTF, SLK)
FSQ = (CVT, HMV)
VVG = (MLD, CHG)
NGP = (NCD, PTT)
NTC = (KRD, BMC)
FHL = (SJL, KGD)
BHV = (JJQ, PLJ)
LJP = (MRF, GXC)
SBT = (HGR, TPX)
SVH = (CQX, PTG)
MVX = (NVV, BBH)
XCG = (GPS, GNR)
RTC = (NVV, BBH)
RGT = (LKP, LNS)
HMV = (KRT, NCV)
KCQ = (SKP, CTC)
FVD = (FSQ, BNJ)
QFG = (DMR, MLS)
SHX = (DCF, GBN)
DMR = (DPF, XRH)
VMB = (JDV, BGF)
TNG = (BRD, TXB)
JDK = (FPN, KSF)
GCB = (RRD, PKR)
XCQ = (BVL, BVL)
DBS = (TNG, VBN)
FXD = (BKS, XNH)
GQJ = (TXM, HFK)
NVV = (GJR, SDD)
MBB = (SNF, SLV)
RMJ = (BSJ, GCS)
JCD = (NHS, JCS)
GBN = (VJK, PGX)
VMQ = (DCN, BDX)
HXM = (BPH, TTT)
CDL = (LVG, PLD)
DCD = (SLX, JCD)
GNV = (GGM, BKQ)
TCN = (KSL, FFC)
SSP = (XRJ, HVF)
PNX = (GMV, MCN)
XCX = (DSM, RMJ)
DMX = (CRR, QCX)
GJC = (KSL, FFC)
RKD = (PXL, NDD)
FLP = (FHL, QDQ)
PTT = (XMF, STD)
TXM = (QHX, MNT)
JVF = (DGC, LMT)
NNG = (XMT, JKH)
NKN = (KVK, XTQ)
SLS = (CMQ, HPH)
MGL = (GDG, VVH)
VPC = (TKR, QNF)
XMT = (RXX, HSF)
QCX = (KSR, DPR)
FBC = (XLB, GHP)
CPM = (RTC, MVX)
FGH = (SNF, SLV)
SJL = (GFC, MXP)
KVK = (FSP, GFM)
VXD = (MNX, HGD)
NDD = (XTL, JPJ)
GJR = (NTD, TRB)
LSH = (XRK, JPP)
JQQ = (HDK, NPX)
THS = (DMX, LJD)
FSK = (BBC, PJS)
PVQ = (DDF, SSS)
RCF = (KNX, CSL)
LMT = (MRN, RKL)
HQB = (XNM, MLX)
QHX = (KHH, DFS)
GDD = (RPK, FBB)
LLR = (JKN, GPR)
XNT = (JVK, GMN)
JBN = (BVN, TRS)
MXP = (KVS, JBN)
FXV = (DCR, BFJ)
XQK = (JQQ, JVH)
TVP = (LGT, BHV)
GGM = (DHP, QXV)
BKS = (BHP, SVB)
DXQ = (FBF, BRJ)
RXX = (DSP, PHT)
GLL = (NSP, SSD)
CTN = (SVD, LBB)
NFX = (PNH, KNQ)
DKN = (BPH, TTT)
GFJ = (LMQ, JMM)
XVP = (KXC, VPD)
NCD = (XMF, STD)
LVQ = (TKR, QNF)
SDD = (TRB, NTD)
VSB = (LQL, GCM)
XMF = (JQH, PSS)
HSD = (XNM, MLX)
LDA = (VPC, LVQ)
RBT = (DMT, GNV)
NRR = (VMQ, SQS)
LTK = (TPV, JKG)
VBL = (RLK, TRV)
GKV = (PXP, DQQ)
JDN = (VBB, VBB)
CML = (PCB, PNX)
LNL = (QBG, JKT)
SFH = (GLV, XKH)
DFS = (RSF, SVL)
FBJ = (GQJ, TJM)
VPD = (HJC, VMN)
STN = (DLQ, DBS)
CVM = (CSH, KFN)
MVR = (NFX, FQN)
KFV = (TDL, TFK)
JQV = (FMG, TVX)
XPN = (MFT, NGG)
TKR = (THS, VHQ)
VPJ = (KFC, PKG)
PTB = (BSD, PGS)
PGX = (KGN, HBX)
XRH = (RBT, XSG)
QHH = (PTP, XGF)
BJS = (DBK, SRB)
KQH = (SQQ, VBL)
LSF = (VPD, KXC)
GVG = (JQV, XBX)
BXX = (NBK, GSQ)
JDX = (JQV, XBX)
VNV = (BXJ, LXL)
SVL = (NNG, SSG)
MLD = (XCG, PHN)
QNF = (THS, VHQ)
PRR = (KSH, KSH)
CFQ = (TDL, TFK)
JVR = (JCX, XVC)
CVV = (PTT, NCD)
CJM = (RTC, MVX)
XKH = (LDN, MDV)
XHS = (KHF, VXD)
MTZ = (GVX, LJP)
BVJ = (DGP, BPN)
VVM = (KQD, VXB)
NTR = (PPK, QNG)
FMG = (LGM, PMH)
GPC = (GCH, FCH)
RHJ = (GTN, QXG)
JPD = (GFJ, BCG)
PNK = (FVV, RQM)
PFJ = (XPN, SPG)
DSC = (VFG, GNF)
PSM = (QLD, SBT)
GCM = (FVD, KLR)
CTC = (SKV, JHM)
GCD = (VMB, VPB)
TVS = (FXL, PFJ)
BVN = (BRT, MSQ)
FLX = (NKT, XLT)
PXP = (KPF, GPC)
QVP = (TNP, JLT)
JXV = (HLD, PNR)
SHS = (DKD, TKH)
FHP = (TXG, VMM)
BRR = (XGV, VVT)
RPK = (JQN, NQV)
NKS = (XNJ, BDQ)
CVC = (NFX, FQN)
PSS = (LGC, QRT)
KSR = (BQR, QFG)
FQG = (VGV, JML)
QBF = (KFC, PKG)
BVL = (XHL, XHL)
JPJ = (LCS, XNT)
TCJ = (FLX, RDG)
BRD = (QHP, KCQ)
XXV = (KVD, RCK)
XPJ = (JCB, VRB)
DSK = (DBJ, PKP)
BQR = (MLS, DMR)
HBB = (CCR, HLK)
