on x=-24..26,y=-5..40,z=-7..41
on x=-72678..-54704,y=19816..43407,z=16364..42379
on x=51009..68895,y=48481..66552,z=27724..51296
on x=34066..51509,y=-42616..-30807,z=47689..76423
on x=-77470..-45422,y=26655..43016,z=-35815..-23824
on x=-24634..-7013,y=-30296..6379,z=77946..91093
on x=-56781..-41432,y=44942..63297,z=-47009..-17985
on x=-95213..-74134,y=3343..23741,z=4229..24279
on x=61302..81326,y=-25844..-8209,z=-32882..-14100
on x=-27390..-10821,y=-51218..-44783,z=50786..68594
on x=63238..81345,y=-39734..-17596,z=22551..50195
on x=-87553..-62611,y=-42771..-24651,z=-27754..-8749
on x=-60203..-24396,y=-74674..-43580,z=31078..36420
on x=-85144..-65273,y=-18554..-5394,z=-32092..-209
on x=32349..62192,y=-61244..-32184,z=-46708..-38457
on x=-72..22257,y=61503..84258,z=-3970..29653
on x=66230..84830,y=20332..41514,z=4985..16780
on x=-58039..-36988,y=-70196..-53336,z=10247..13477
on x=-24566..-8681,y=-94004..-69717,z=-12041..9481
on x=10334..48181,y=-2471..19711,z=56585..78548
on x=10784..32229,y=-93847..-55900,z=-9229..18824
on x=49587..59448,y=-59851..-45347,z=22113..43481
on x=-87533..-53634,y=20220..49745,z=-1116..16729
on x=-58815..-32234,y=54488..66930,z=5900..28577
on x=60038..81924,y=-8318..8718,z=10223..33033
on x=1923..18495,y=-3102..10532,z=-88329..-78503
on x=59672..77715,y=-40626..-35390,z=25608..48293
on x=36297..55036,y=42437..63782,z=42407..63524
on x=-23687..-10746,y=66374..84343,z=-19848..-18228
on x=18593..52199,y=59997..81390,z=8310..28040
on x=-43261..-30680,y=49936..71924,z=15139..27826
on x=35496..47786,y=-12482..5630,z=56734..85320
on x=-11550..4633,y=22405..47480,z=65911..80353
on x=22211..55607,y=67503..76616,z=-14547..15509
on x=31740..50903,y=20939..45236,z=56027..65915
on x=-59565..-47991,y=-35634..-8161,z=-61081..-44540
on x=-38974..-22039,y=-73909..-46420,z=-56927..-23880
on x=-74964..-52180,y=-31583..-19856,z=-41266..-30469
on x=47266..62217,y=28096..50912,z=15665..51527
on x=-63614..-50704,y=-60364..-49979,z=-43673..-19528
on x=15575..36146,y=-83099..-63073,z=-42166..-25456
on x=-79690..-65131,y=-24877..-1230,z=11120..41246
on x=-4523..17702,y=-78697..-60385,z=-29305..-4029
on x=17261..34049,y=29661..58479,z=-68165..-46907
on x=-12400..-1371,y=-71489..-47076,z=35766..62650
on x=-27789..7729,y=-68135..-58589,z=-47273..-39728
on x=68157..78687,y=-1072..34504,z=21557..38840
on x=26633..53469,y=63581..81530,z=-5982..18405
on x=-14883..15553,y=-12471..-980,z=-91754..-59136
on x=-23533..8244,y=-48008..-17971,z=67528..76082
on x=15266..44665,y=17502..45948,z=-80561..-52835
on x=-31325..4257,y=-50621..-29084,z=47197..74972
on x=23948..45584,y=-36756..-13871,z=68270..72042
on x=56171..85675,y=-25761..-21142,z=-24997..-18805
on x=6696..21116,y=-50725..-36582,z=-83039..-62967
on x=-49287..-12492,y=39255..73957,z=32589..60831
on x=18208..48850,y=-64186..-49655,z=24081..57383
on x=-21089..-7291,y=-86930..-59579,z=-21635..3264
on x=-1051..21830,y=-39146..-20118,z=72471..87333
on x=30008..54632,y=-26147..-14778,z=50822..75191
on x=11924..24704,y=-75577..-56492,z=592..31488
on x=-44629..-21430,y=45361..66637,z=-51786..-41834
on x=-64884..-41525,y=29231..44102,z=37768..57059
on x=31161..50459,y=31604..48054,z=34557..64400
on x=36738..55399,y=-74618..-44434,z=20578..43396
on x=31022..53044,y=44842..70018,z=-7706..11821
on x=63243..78624,y=-39042..-14303,z=-41860..-26158
on x=-42292..-22356,y=-55239..-29985,z=-57631..-36306
on x=11253..34902,y=66292..72870,z=13002..36097
on x=-35282..-27032,y=58835..76923,z=21050..43979
on x=-84223..-62785,y=23112..43514,z=-42672..-13754
on x=-3350..478,y=-25145..-18191,z=-96080..-76187
on x=20678..58328,y=-44508..-28464,z=-79988..-46699
on x=46735..65375,y=13436..31366,z=-61282..-39841
on x=-87711..-56748,y=-28789..-19538,z=14406..28075
on x=-16659..15248,y=75705..89199,z=-15472..-7958
on x=37345..74844,y=30092..51621,z=32635..44277
on x=-64462..-53285,y=-35306..-18899,z=30878..64940
on x=-26468..9099,y=42324..54559,z=45489..65368
on x=-19257..3337,y=-92931..-57803,z=22799..39671
on x=-3207..17264,y=-82989..-76889,z=-15319..15172
on x=-41286..-18429,y=-35843..-7024,z=-82527..-54781
on x=46286..82418,y=45348..57767,z=-3147..15690
on x=-68262..-58307,y=3806..24403,z=46854..63291
on x=-130..19564,y=3660..22398,z=-85573..-60617
on x=16126..21930,y=-73316..-53369,z=41777..72710
on x=24638..46417,y=59182..72626,z=-16321..-9098
on x=-17331..13083,y=39384..61561,z=43236..71832
on x=58036..79808,y=-5373..16227,z=25801..34299
on x=-40853..-22516,y=-17119..7328,z=-74970..-62490
on x=40030..60204,y=18303..47126,z=-59685..-48847
on x=-11309..4853,y=77452..85277,z=-14797..8309
on x=50697..76119,y=-37705..-21349,z=16877..35940
on x=-48798..-34053,y=65796..89714,z=-2575..1025
on x=-16559..3651,y=-33716..-11780,z=54873..82732
on x=-53556..-39892,y=-58433..-41327,z=-66705..-42978
on x=31485..53700,y=52203..63986,z=-52967..-38293
on x=4645..34468,y=47508..65982,z=-45654..-40573
on x=-87512..-61767,y=6790..22442,z=-23374..7647
on x=59975..70806,y=15542..39573,z=35499..45575
on x=-74085..-55250,y=-47922..-36188,z=13039..30061
on x=-42528..-20698,y=41530..55735,z=48991..67104
on x=-87979..-66482,y=440..13808,z=-32465..-23642
on x=-14076..-4393,y=37994..62252,z=39287..71929
on x=-25886..-4644,y=45326..48886,z=-77379..-51968
on x=-47147..-36465,y=-74452..-48425,z=10318..29932
on x=-31507..-1301,y=-30373..-421,z=-93597..-67747
on x=-45910..-19800,y=54517..62836,z=-56562..-33021
on x=104..20657,y=17332..24054,z=76824..96308
on x=26139..40030,y=-72609..-36391,z=37678..59023
on x=46..22292,y=-824..12892,z=76343..80061
on x=-2288..34312,y=-73030..-53123,z=-38055..-18627
on x=-38406..-17990,y=-70593..-48253,z=11172..41994
on x=53817..72838,y=30506..38661,z=20182..34018
on x=23826..59739,y=27582..45188,z=-73343..-54685
on x=69351..80614,y=21219..41796,z=-12098..8356
on x=-59032..-52617,y=38452..61481,z=-36164..-11453
on x=-78661..-66064,y=-32492..-17544,z=-26945..6954
on x=10567..41318,y=-6570..16020,z=-83637..-62446
on x=9860..43000,y=59037..77653,z=28387..50945
on x=16721..53302,y=-46639..-23839,z=44059..73945
on x=-70827..-45187,y=38190..43530,z=-61084..-23749
on x=-48399..-37142,y=12255..42441,z=52908..85567
on x=53405..79594,y=-23626..611,z=40605..64733
on x=-10784..24303,y=-1626..26389,z=-92863..-74120
on x=-30008..-13275,y=17141..39972,z=-74455..-59803
on x=-6202..16746,y=-83782..-57692,z=32739..55293
on x=-45054..-17786,y=-55632..-25509,z=58440..65430
on x=49496..74995,y=-64557..-35933,z=8931..24566
on x=-13760..16677,y=41402..63662,z=-70515..-59036
on x=38379..59137,y=30491..44422,z=56353..60342
off x=-24742..2249,y=-40926..-3720,z=-79933..-68774
on x=-47325..-25534,y=-58380..-34831,z=-50258..-33652
off x=-47733..-27521,y=-27721..-13863,z=-73170..-62200
off x=-83945..-60815,y=9850..27838,z=950..11237
on x=-530..24203,y=-95800..-73924,z=5070..19491
off x=-36864..-20946,y=-81347..-61739,z=32668..38474
off x=-36656..-6098,y=72706..79591,z=-11424..15174
on x=6555..20362,y=42918..57995,z=52048..63685
on x=18067..31412,y=-58953..-36726,z=44579..70711
on x=53722..85902,y=30739..38467,z=-32023..-11344
off x=-81371..-60561,y=-65573..-46474,z=-9980..13573
off x=51596..60885,y=51447..61598,z=14876..25419
on x=9488..19184,y=-74843..-47054,z=30892..43361
off x=-61912..-42820,y=36018..62340,z=-32665..-9794
off x=-37542..-14885,y=15720..20744,z=-76697..-59487
on x=63813..83567,y=-3073..13000,z=14110..37120
off x=-49487..-22977,y=-4273..21397,z=57477..79719
off x=10818..44502,y=58900..92027,z=-39589..-17569
on x=-81807..-64293,y=-45192..-19647,z=-5341..-2784
off x=-55478..-23678,y=63712..66028,z=3567..32586
on x=-20385..-11203,y=5509..29180,z=59392..77809
on x=57144..88328,y=1538..22221,z=-4725..18757
on x=-33107..-27506,y=-78667..-64060,z=6017..36762
off x=-6314..978,y=-10623..-1488,z=60312..81937
on x=-10391..17165,y=-81923..-65966,z=12889..23243
on x=41093..62251,y=31584..32807,z=43154..52764
on x=77653..90977,y=-10639..11259,z=2453..9348
on x=7494..26381,y=69669..84849,z=32979..48213
off x=-8343..11654,y=58528..85182,z=653..27032
on x=-735..5301,y=-87893..-68784,z=24849..45135
on x=1953..3062,y=-94925..-77283,z=-22865..-4449
off x=-45826..-27171,y=-69071..-52430,z=38802..68061
on x=21665..40847,y=-54263..-28366,z=61334..76237
on x=-32924..-20574,y=47633..79790,z=-50136..-39232
on x=54685..71349,y=-62557..-33089,z=27476..42665
off x=59754..78538,y=-35932..-20483,z=-32172..-19830
off x=37861..65730,y=39985..61002,z=23504..41344
on x=-74741..-47204,y=-59872..-49002,z=-28833..-781
off x=3476..17668,y=68198..75910,z=-27254..-7235
on x=66069..82770,y=24216..49941,z=-36134..-4273
on x=48702..64171,y=-77237..-41211,z=-34982..-1805
on x=13809..37676,y=37331..63848,z=-67520..-47332
off x=-18241..-16031,y=52017..61954,z=-63105..-46761
on x=14524..47366,y=-57403..-30601,z=-75860..-50889
on x=-7270..10637,y=43987..70276,z=-66420..-39961
on x=4353..21415,y=52505..69508,z=-41724..-39623
off x=15496..27979,y=-74457..-55950,z=-40425..-18614
off x=-61972..-46394,y=-68745..-45678,z=4749..26885
on x=26688..43626,y=-60783..-36136,z=44084..65094
on x=-32202..2413,y=-80250..-61117,z=-42809..-30759
on x=-50400..-36122,y=59938..78775,z=8249..14010
off x=-11808..24477,y=51651..57523,z=-69325..-46448
on x=-72349..-50943,y=24709..44458,z=39052..45249
on x=63477..83481,y=20482..35519,z=26467..33943
on x=-53722..-28581,y=48617..72280,z=16735..47820
on x=49779..69562,y=-25355..-12335,z=50965..65593
off x=-48670..-27527,y=51878..76129,z=11927..34996
off x=-30203..-9313,y=3312..31262,z=52940..90888
off x=1812..13806,y=-17395..-3209,z=64631..87790
on x=9684..32379,y=-81732..-62642,z=-24074..-10379
off x=-75011..-65777,y=24070..39654,z=17202..40909
on x=-87679..-76918,y=-4558..8948,z=-6232..20254
off x=-55563..-46662,y=-6715..4715,z=44509..62432
off x=42661..65781,y=9857..32909,z=54272..62826
off x=71075..81678,y=-6479..-1703,z=-44516..-18005
on x=4952..26523,y=59673..90782,z=6095..15047
off x=-42384..-23511,y=-73105..-64330,z=-16602..3227
off x=-18148..-13132,y=22123..45117,z=-68689..-48648
on x=4167..36103,y=-81411..-57974,z=-16361..-4273
off x=-51893..-27570,y=8739..30622,z=-78519..-54862
on x=-40940..-11382,y=-35819..-18301,z=-79311..-70893
on x=-52365..-35244,y=-67742..-51897,z=-49275..-25507
on x=37183..41081,y=-76942..-51334,z=-39459..-15473
on x=-47076..-21857,y=43859..61060,z=-46364..-23097
off x=50139..67202,y=11617..31573,z=-55825..-42177
on x=-69608..-58351,y=36696..39390,z=28928..54334
off x=17230..35559,y=-73061..-64573,z=-27327..-9096
off x=-32668..-6290,y=-81343..-53810,z=39217..47010
off x=-6941..15440,y=64673..94579,z=-5171..12236
off x=4489..8029,y=38739..57877,z=54997..71455
off x=-42969..-27400,y=53522..85284,z=14237..35322
on x=-81995..-62662,y=-60753..-29868,z=-23137..4932
off x=-18900..18279,y=59306..79233,z=39188..71799
off x=34064..42255,y=-4729..2608,z=53674..85548
off x=-30227..-12262,y=58379..78470,z=-2724..-105
on x=-11439..12606,y=-54284..-46038,z=-76593..-51849
on x=26252..65651,y=22769..45282,z=37142..67767
off x=54913..74386,y=-18197..2522,z=28541..55427
on x=-43171..-21729,y=29666..44627,z=52869..73931
on x=-40605..-26003,y=-25028..-2467,z=-82282..-49850
on x=-52773..-34236,y=-2753..13844,z=61651..87231
off x=-93799..-65698,y=-40603..-4419,z=5278..27507
on x=-28724..-13489,y=-22427..-14352,z=57929..90549
on x=18655..36786,y=62146..76247,z=-31256..-22934
off x=-42346..-5229,y=17564..32492,z=69392..84966
on x=-24455..-17132,y=74434..77431,z=-21501..-8410
off x=25211..57315,y=13740..36003,z=-68801..-56185
off x=27..24904,y=75904..97782,z=-10719..5799
on x=-49260..-36416,y=-2846..34476,z=52796..76381
on x=53581..83019,y=-4353..18661,z=37179..50767
on x=-64156..-41167,y=51996..64637,z=24073..47589
off x=5644..33414,y=2470..30586,z=-90196..-64061
off x=54810..84305,y=-57338..-29450,z=-2234..9839
on x=-85272..-75168,y=-22177..1744,z=-31707..-7326
off x=32863..51637,y=-31704..-19915,z=56733..69791
on x=-66125..-35317,y=6125..30008,z=47036..79335
on x=55590..73405,y=-13895..6890,z=40189..68070
on x=6079..24303,y=-86736..-65081,z=-17630..19062
on x=37640..48571,y=-68891..-51790,z=-33967..-3104
off x=8625..20808,y=61479..75865,z=-47719..-32119
on x=-28358..-26349,y=25083..34274,z=58867..69718
off x=-31999..-13374,y=-62161..-41315,z=-60908..-31114
on x=-77428..-70852,y=-4432..11626,z=-43163..-22549
off x=-12405..8575,y=64536..88112,z=-389..11193
on x=-7839..23604,y=9649..18002,z=71320..80369
on x=9903..41159,y=-67049..-35226,z=36893..65184
on x=7673..23235,y=-28519..-2042,z=-76945..-56528
off x=-57904..-35587,y=27900..44561,z=51948..77633
off x=8565..13720,y=-73480..-50019,z=49621..54335
on x=-56404..-36399,y=-57375..-40927,z=36712..70219
on x=70684..91311,y=5805..11539,z=-34339..-11998
on x=-37304..-27013,y=66245..84813,z=29697..35104
on x=67668..84252,y=7104..39933,z=-18209..1515
on x=-10662..7773,y=-72594..-61831,z=25855..50662
on x=26653..57985,y=-52054..-28671,z=-58493..-40415
on x=17227..46111,y=53917..85222,z=-41020..-22517
off x=-24743..-23426,y=-38166..-20539,z=-73558..-70558
on x=-71444..-52816,y=42181..61021,z=-13175..13567
off x=38239..67388,y=-47432..-35883,z=37000..49998
on x=-29372..-10740,y=10145..18327,z=66536..86250
on x=-74091..-53011,y=-35460..-2123,z=10863..36485
off x=-830..26012,y=-83838..-74027,z=-17749..4332
on x=39856..61767,y=19212..36644,z=39104..68753
off x=58969..74710,y=23746..48082,z=-36731..-13095
on x=-46857..-17761,y=54517..88038,z=-21028..4865
on x=5757..31806,y=-87159..-59641,z=21926..45050
off x=57158..79794,y=369..22188,z=-38467..-16755
on x=-22198..-6915,y=20120..55734,z=-77326..-60268
on x=-8295..15579,y=27424..42200,z=-80784..-62186
on x=-70154..-59688,y=-37012..-10957,z=33343..53899
off x=6596..15666,y=-17845..-165,z=71385..80703
off x=18021..36900,y=35594..57867,z=55564..66934
off x=-36438..-22194,y=-74367..-65732,z=-33994..-7716
on x=34321..65894,y=24729..47784,z=44010..60150
on x=37440..55824,y=40602..67577,z=19739..39032
off x=58890..73594,y=-4182..4316,z=-42633..-14798
on x=15171..33924,y=49029..65558,z=-61087..-33220
on x=29532..56508,y=51669..74738,z=-33565..-5605
off x=-71184..-63148,y=27975..59373,z=-43298..-19545
on x=-60077..-44310,y=54154..68101,z=-7114..3158
off x=62585..74266,y=20842..33285,z=23976..43591
on x=-2872..26017,y=-91343..-71379,z=-6102..8061
on x=41592..62416,y=-60063..-32783,z=8821..34878
off x=-25312..6506,y=45464..69626,z=-61839..-56490
on x=23936..44808,y=-2387..26444,z=-89650..-54771
off x=-83092..-59003,y=25545..49808,z=13822..42003
off x=-86923..-66776,y=-34795..-2691,z=-17352..6044
off x=71523..83477,y=-14130..18457,z=-41065..-18062
on x=77806..95470,y=-19234..3652,z=2341..6426
on x=19824..27633,y=-67834..-43300,z=49127..66225
on x=-71200..-47334,y=-53184..-48462,z=-12733..-6216
off x=-53021..-51480,y=-12549..7458,z=41350..63702
off x=-33512..-771,y=-42099..-16505,z=62759..74194
on x=34807..47110,y=-70974..-42229,z=-53462..-42371
on x=66762..79760,y=-387..21133,z=-1509..18944
on x=43420..61556,y=-21987..-6645,z=-80823..-47708
on x=-63729..-50036,y=10611..32202,z=-70719..-39403
off x=-38050..-17413,y=25687..43690,z=-73084..-59525
off x=6350..18248,y=-91079..-62333,z=-37340..-27594
on x=-32608..-9043,y=69031..79721,z=-21063..-630
off x=-87007..-63742,y=-49906..-22057,z=-17417..3476
on x=-17673..963,y=-57481..-36146,z=-76921..-42934
off x=-79831..-50990,y=33844..51773,z=-25828..2983
on x=15672..46344,y=-57937..-32656,z=-67008..-48368
on x=-49967..-27963,y=-81228..-52999,z=17158..34774
off x=18153..43168,y=-85201..-60731,z=8057..30431
off x=-67119..-47969,y=-51209..-29317,z=-54436..-44903
on x=57416..73315,y=-29876..-23159,z=10433..31168
off x=-15008..-1047,y=71855..82302,z=-3495..22865
off x=-52138..-40439,y=42840..55947,z=-46363..-15750
off x=64773..75014,y=9560..22050,z=-38909..-19955
on x=-31122..-1534,y=-22615..6714,z=-87340..-59806
on x=73201..83039,y=-12709..9883,z=-28495..951
on x=-33265..-13215,y=-77820..-55917,z=-37084..-20515
on x=23818..49626,y=-12581..9343,z=-69309..-52153
on x=-77351..-52406,y=-52921..-39440,z=19081..36358
on x=-64586..-51868,y=20667..34234,z=-48558..-37167
off x=-91514..-74820,y=-6979..23809,z=-8029..3818
on x=22909..48595,y=-4908..23549,z=-75631..-58012
off x=27777..35250,y=36781..44804,z=39450..69918
on x=-45648..-27303,y=23384..48276,z=-64720..-45918
off x=21298..46435,y=15936..43855,z=66654..74582
on x=-498..17127,y=18495..44964,z=-84124..-61584
off x=-84477..-58932,y=-29078..2680,z=-55341..-44338
on x=63128..84454,y=-19533..-9427,z=-41106..-27274
off x=-25136..-5974,y=51930..85546,z=25807..35948
on x=50137..88583,y=-38201..-20317,z=-1165..32787
on x=-16269..4565,y=-54781..-37040,z=54733..74868
on x=31918..53358,y=52954..77962,z=-20309..-9155
off x=6259..30795,y=63250..73684,z=25841..49676
